Job_ID,Job_Title,AI_Specialization,Industry,Company,Company_Size,Country,Continent,Education_Required,Experience_Level,Years_of_Experience,Salary_USD,Salary_Min,Salary_Max,Salary_Category,Bonus_%,Equity_Offered,Benefits_Value_USD,Skills_Required,Required_Certifications,Job_Openings,Competition_Level_Applicants,Hiring_Difficulty_1_10,Job_Type,Remote_Work_%,Work_From_Home_Available,Job_Satisfaction_1_10,Work_Life_Balance_1_10,AI_Investment_Company_Millions,Company_AI_Maturity_1_10,Job_Growth_Projection_%,Automation_Risk_%,Gender_Diversity_%_Female,Posted_Date,Application_Deadline,Record_Created,Data_Source
AI-03546,Business Intelligence Analyst,Computer Vision,E-commerce,Alibaba,Enterprise (5000+),Israel,Asia,Bachelor's,Executive,12,718357.0,614788,917269,Very High,9.0,No,26583,"Power BI, C++, Business Intelligence, Python, Tableau, SQL",DeepLearning.ai,9,57,7.4,Full-time,60,Yes,8.5,5.2,39,3.9,30.7,10.2,22.7,2035-09-16,2035-10-17,2026-08-28,Global AI Jobs Report 2026
AI-01969,Generative AI Engineer,Reinforcement Learning,Automotive,UiPath,Large (501-5000),United States,North America,Master's,Executive,10,710478.0,610551,803730,Very High,11.0,No,29459,"PyTorch, GPT, Python, Transformers, Generative Models, Diffusion",AWS Certified,8,435,8.5,Full-time,40,No,5.8,7.3,499,3.9,18.1,20.7,39.8,2031-05-23,2031-06-23,2026-08-28,Global AI Jobs Report 2026
AI-02960,AI Software Engineer,Deep Learning,Insurance,UiPath,Enterprise (5000+),United States,North America,Postdoctoral,Executive,20,645027.0,529160,901476,Very High,19.5,Yes,32551,"Git, REST APIs, ML Libraries, C++, Python, AWS/GCP",None,11,418,8.0,Full-time,80,Yes,6.8,5.5,5,2.8,43.7,29.1,27.1,2034-02-07,2034-03-10,2026-08-28,Global AI Jobs Report 2026
AI-02384,NLP Engineer,Other,Transportation,Adobe,Large (501-5000),United States,North America,PhD,Executive,1,633727.0,503794,761489,Very High,5.2,No,26552,"BERT, PyTorch, NLTK, GPT, Python, Transformers",Multiple,8,144,7.8,Full-time,60,Yes,7.8,4.7,172,8.1,39.9,24.9,15.9,2032-07-11,2032-08-11,2026-08-28,Global AI Jobs Report 2026
AI-03930,AI Solutions Architect,Reinforcement Learning,Cloud Computing,Megvii,Large (501-5000),Switzerland,Europe,PhD,Executive,10,628521.0,441184,798053,Very High,25.6,No,24763,"System Design, AWS, AWS/GCP/Azure, Pandas, Integration, Python",Google ML,14,195,4.5,Full-time,0,No,9.0,8.1,65,6.8,25.6,31.5,41.2,2036-10-04,2036-11-04,2026-08-28,Global AI Jobs Report 2026
AI-04689,Lead Data Scientist,NLP,Logistics,Automation Anywhere,Enterprise (5000+),United Kingdom,Europe,Bachelor's,Executive,12,600857.0,492562,735195,Very High,21.8,No,7283,"R, SQL, Team Leadership, Python, AWS/GCP, Strategic Planning",Google ML,6,334,6.7,Full-time,40,No,8.9,8.0,150,5.0,40.0,35.1,40.6,2038-11-02,2038-12-03,2026-08-28,Global AI Jobs Report 2026
AI-03519,AI Policy Advisor,Other,Cloud Computing,NEC,Large (501-5000),United States,North America,Master's,Executive,1,591931.0,450884,681614,Very High,17.4,Yes,6180,"Policy Analysis, AI Governance, Regulatory, Government Relations, Ethics",AWS Certified,9,474,4.1,Full-time,40,No,9.2,8.9,20,9.1,36.5,22.3,32.9,2035-08-20,2035-09-20,2026-08-28,Global AI Jobs Report 2026
AI-02842,Senior Data Scientist,Machine Learning,Transportation,BCG,Enterprise (5000+),Netherlands,Europe,Master's,Executive,10,588768.0,437641,731561,Very High,17.3,No,36595,"Leadership, Big Data, Statistics, Python, SQL, ML/AI",None,5,334,3.2,Contract,80,Yes,7.7,8.0,185,2.2,21.2,21.8,18.0,2033-10-12,2033-11-12,2026-08-28,Global AI Jobs Report 2026
AI-02250,Robotics Engineer,Generative AI,Insurance,Sony,Enterprise (5000+),United States,North America,PhD,Executive,0,568579.0,485510,736823,Very High,14.2,No,19842,"ROS, AI/ML, Robotics, C++, Python, Computer Vision",AWS Certified,10,485,8.0,Full-time,80,Yes,5.9,7.8,108,4.8,20.4,26.1,28.1,2032-02-28,2032-03-30,2026-08-28,Global AI Jobs Report 2026
AI-00574,MLOps Engineer,Computer Vision,Government,Booz Allen,Enterprise (5000+),Switzerland,Europe,PhD,Executive,3,566373.0,411990,752186,Very High,15.2,No,30434,"AWS/GCP/Azure, Python, MLOps, Docker, Kubernetes, CI/CD",None,8,330,8.8,Full-time,60,Yes,7.0,8.8,272,3.5,25.8,35.8,19.7,2027-07-28,2027-08-28,2026-08-28,Global AI Jobs Report 2026
AI-04418,AI Research Scientist,Deep Learning,Automotive,Netflix,Large (501-5000),Switzerland,Europe,Master's,Executive,10,563629.0,419757,729679,Very High,13.4,Yes,23674,"PyTorch, Academic Publishing, Deep Learning, Reinforcement Learning, Python, Tableau",AWS Certified,8,424,7.7,Full-time,80,Yes,7.8,4.9,377,2.5,20.8,6.3,21.3,2038-02-04,2038-03-07,2026-08-28,Global AI Jobs Report 2026
AI-04391,AI Policy Advisor,Generative AI,Government,Baidu,Large (501-5000),Germany,Europe,Master's,Executive,0,558883.0,433292,760461,Very High,6.3,No,17477,"Policy Analysis, AI Governance, Regulatory, Government Relations, Ethics, JavaScript",Google ML,15,427,6.0,Full-time,40,No,8.4,4.1,238,3.1,37.2,35.1,19.8,2038-01-08,2038-02-08,2026-08-28,Global AI Jobs Report 2026
AI-02105,AI Professor,Computer Vision,Telecommunications,Baidu,Large (501-5000),Singapore,Asia,Master's,Executive,3,557501.0,408636,775282,Very High,5.1,No,8453,"Research, Grant Writing, Teaching, Ph.D., Academic Publications, NumPy",Multiple,12,250,8.2,Full-time,40,No,6.9,6.8,145,5.7,37.2,31.6,41.6,2031-10-06,2031-11-06,2026-08-28,Global AI Jobs Report 2026
AI-04184,Data Engineer,Robotics,Defense,NEC,Large (501-5000),Germany,Europe,Master's,Executive,10,551881.0,467141,751072,Very High,25.5,Yes,21991,"SQL, Kafka, Python, Tableau, AWS/GCP, ETL Pipelines",Multiple,9,178,9.0,Freelance,20,No,6.7,6.5,275,5.4,29.1,10.2,30.8,2037-06-15,2037-07-16,2026-08-28,Global AI Jobs Report 2026
AI-01985,AI Software Engineer,Deep Learning,Entertainment,EY,Large (501-5000),Switzerland,Europe,Master's,Executive,12,546174.0,477307,746412,Very High,18.3,Yes,9482,"REST APIs, ML Libraries, C++, Python, AWS/GCP, Java",Azure AI,9,472,3.5,Full-time,60,Yes,5.9,8.3,15,2.4,33.1,39.5,24.6,2031-06-08,2031-07-09,2026-08-28,Global AI Jobs Report 2026
AI-03908,AI Ethics Specialist,Computer Vision,Transportation,Apple,Large (501-5000),Switzerland,Europe,Master's,Executive,2,544688.0,425392,611206,Very High,20.8,No,19739,"Git, Regulatory Compliance, AI Governance, Ethics, Policy, Bias Detection",None,10,200,8.3,Full-time,80,Yes,9.1,6.2,161,4.8,37.9,6.9,30.2,2036-09-12,2036-10-13,2026-08-28,Global AI Jobs Report 2026
AI-00410,Data Analyst,Other,Pharmaceuticals,Spotify,Large (501-5000),Germany,Europe,Master's,Executive,12,539568.0,397613,649976,Very High,9.3,No,7046,"Statistics, Excel, Data Visualization, Python, Tableau, SQL",None,8,111,8.3,Full-time,20,No,7.2,6.8,429,3.7,41.2,34.3,17.6,2027-02-14,2027-03-17,2026-08-28,Global AI Jobs Report 2026
AI-00282,AI Infrastructure Engineer,Robotics,E-commerce,Oracle,Large (501-5000),Thailand,Asia,PhD,Executive,12,518866.0,432137,581667,Very High,12.7,No,20946,"AWS/GCP/Azure, Azure, Python, MLOps, Docker, Kubernetes",Multiple,14,239,5.9,Full-time,40,No,7.3,5.0,412,7.1,19.5,8.6,43.7,2026-10-09,2026-11-09,2026-08-28,Global AI Jobs Report 2026
AI-01841,Computer Vision Engineer,Robotics,Robotics,Apple,Large (501-5000),Australia,Oceania,PhD,Executive,10,518618.0,379333,594696,Very High,25.2,No,28419,"PyTorch, YOLO, CNN, OpenCV, Python, AWS/GCP",Google ML,6,280,5.9,Part-time,40,No,6.1,6.2,185,5.7,35.5,12.7,39.3,2031-01-15,2031-02-15,2026-08-28,Global AI Jobs Report 2026
AI-01547,AI Quality Assurance Engineer,Deep Learning,Biotechnology,Hugging Face,Medium (51-500),Japan,Asia,PhD,Executive,2,515948.0,393102,569032,Very High,7.0,No,10205,"Testing, Automation, PyTorch, Pandas, AI/ML, Python",Azure AI,13,330,7.1,Full-time,60,Yes,6.4,6.6,96,6.6,22.2,37.9,41.5,2030-03-27,2030-04-27,2026-08-28,Global AI Jobs Report 2026
AI-04934,NLP Engineer,Robotics,Media,Infosys,Small (1-50),Netherlands,Europe,Master's,Executive,2,514721.0,442622,671773,Very High,21.7,No,36972,"BERT, PyTorch, NLTK, GPT, Python, Transformers",DeepLearning.ai,14,461,5.7,Full-time,100,Yes,6.4,5.8,177,6.7,22.9,9.7,22.2,2039-07-05,2039-08-05,2026-08-28,Global AI Jobs Report 2026
AI-00455,Computer Vision Engineer,Robotics,Defense,Booz Allen,Medium (51-500),Netherlands,Europe,PhD,Executive,10,509695.0,412109,677488,Very High,11.9,No,26301,"AWS, PyTorch, Pandas, YOLO, CNN, OpenCV",None,10,162,8.2,Full-time,20,No,7.0,5.0,490,7.8,41.9,16.4,43.7,2027-03-31,2027-05-01,2026-08-28,Global AI Jobs Report 2026
AI-01104,Data Engineer,Computer Vision,Real Estate,Tesla,Large (501-5000),Kenya,Africa,PhD,Executive,12,504445.0,437659,608627,Very High,28.0,No,16733,"Hadoop, SQL, Kafka, NumPy, Python, AWS/GCP",Google ML,11,443,6.4,Full-time,80,Yes,9.2,4.9,475,7.1,31.4,29.6,36.8,2029-01-08,2029-02-08,2026-08-28,Global AI Jobs Report 2026
AI-00841,AI Quality Assurance Engineer,Machine Learning,Healthcare,Amazon,Enterprise (5000+),Singapore,Asia,PhD,Executive,1,501870.0,439236,650508,Very High,29.9,Yes,14447,"Testing, Automation, Git, R, AI/ML, Python",AWS Certified,12,297,5.0,Part-time,80,Yes,6.9,5.9,108,5.1,20.6,7.5,42.8,2028-04-20,2028-05-21,2026-08-28,Global AI Jobs Report 2026
